Id,year,brand,price,distance_travelled(kms),fuel_type,new_and_less_used
472,2017,Ford,2750000,50000,Diesel,0
473,2020,Kia,1850000,5800,Petrol,1
474,2017,BMW,4700000,47000,Petrol,0
475,2016,Ford,7300000,23000,Petrol,0
476,2012,Hyundai,245000,52000,Petrol,0
477,2010,Honda,310000,58000,Petrol,0
478,2016,Maruti Suzuki,460000,29000,Petrol,0
479,2015,Hyundai,550000,55000,Diesel,0
480,2018,Audi,2750000,37000,Diesel,0
481,2014,Chevrolet,195000,39000,Diesel,0
482,2015,Honda,390000,61000,Petrol,0
483,2014,Volkswagen,385000,85000,Diesel,0
484,2019,Skoda,1999000,51000,Diesel,0
485,2015,Mercedes-Benz,2900000,47000,Diesel,0
486,2015,Volkswagen,550000,67000,Petrol,0
487,2018,Mahindra,1075000,23000,Diesel,1
488,2016,Honda,435000,52000,Petrol,0
489,2012,Honda,425000,80000,Petrol,0
490,2010,Maruti Suzuki,225000,72000,Petrol,0
491,2013,Mercedes-Benz,2650000,68000,Diesel,0
492,2019,Mahindra,925000,25000,Diesel,1
493,2015,Renault,650000,65349,Diesel,0
494,2018,Hyundai,1395000,55627,Diesel,0
495,2007,Honda,325000,76890,Petrol,0
496,2010,Skoda,675000,61000,Petrol,0
497,2017,Maruti Suzuki,735000,33905,Petrol,0
498,2019,BMW,6600000,26000,Diesel,1
499,2014,Mahindra,915000,52255,Diesel,0
500,2010,Hyundai,280000,72799,Petrol,0
501,2017,Hyundai,585000,27805,Petrol,1
502,2017,Maruti Suzuki,735000,33984,Petrol,0
503,2017,Hyundai,599000,35876,Petrol,0
504,2018,Hyundai,1450000,26966,Petrol,1
505,2016,Maruti Suzuki,695000,47057,Petrol,0
506,2018,Mahindra,1425000,53636,Diesel,0
507,2013,Honda,1399000,94055,Petrol,0
508,2019,Maruti Suzuki,745000,18680,Petrol,1
509,2018,Mahindra,1425000,53636,Diesel,0
510,2018,Maruti Suzuki,680000,39792,Petrol,0
511,2017,Hyundai,1145000,61307,Petrol,0
512,2018,Mahindra,1795000,53769,Diesel,0
513,2016,Maruti Suzuki,595000,51016,Petrol,0
514,2018,Maruti Suzuki,935000,30356,Diesel,0
515,2015,Skoda,745000,60997,Diesel,0
516,2013,Honda,1399000,94030,Petrol,0
517,2017,Hyundai,1299000,60559,Diesel,0
518,2017,Hyundai,1185000,68796,Diesel,0
519,2017,Volkswagen,945000,42876,Diesel,0
520,2019,Mahindra,1785000,28713,Diesel,1
521,2017,Hyundai,599000,35855,Petrol,0
522,2018,Hyundai,1345000,36986,Petrol,0
523,2018,Hyundai,1295000,26605,Petrol,1
524,2018,Hyundai,1345000,50192,Petrol,0
525,2013,Toyota,725000,44862,Petrol,0
526,2017,Hyundai,1165000,74848,Petrol,0
527,2018,Maruti Suzuki,949000,15133,Petrol,1
528,2018,Honda,925000,40542,Petrol,0
529,2017,Maruti Suzuki,735000,33905,Petrol,0
530,2018,Hyundai,1395000,55627,Diesel,0
531,2021,MG,2150000,10860,Diesel,1
532,2017,Hyundai,1345000,52165,Diesel,0
533,2018,Hyundai,1395000,36412,Petrol,0
534,2018,Hyundai,1395000,55692,Diesel,0
535,2017,Hyundai,1145000,61252,Petrol,0
536,2017,Hyundai,1175000,31663,Petrol,0
537,2017,Fiat,740000,15440,Diesel,1
538,2020,Mahindra,1685000,10035,Diesel,1
539,2013,Hyundai,335000,45654,Petrol,0
540,2017,Renault,410000,13839,Petrol,1
541,2015,Nissan,465000,13123,Petrol,0
542,2018,Maruti Suzuki,435000,41581,Petrol,0
543,2013,Hyundai,290000,35421,Petrol,0
544,2016,Honda,580000,44814,Petrol,0
545,2016,Hyundai,699000,42811,Petrol,0
546,2016,Maruti Suzuki,750000,45949,Petrol,0
547,2015,Maruti Suzuki,375000,18760,Petrol,0
548,2015,Maruti Suzuki,699000,74541,Petrol,0
549,2016,Hyundai,699000,42811,Petrol,0
550,2016,Maruti Suzuki,750000,45949,Petrol,0
551,2015,Maruti Suzuki,375000,18760,Petrol,0
552,2013,Hyundai,335000,45654,Petrol,0
553,2017,Renault,410000,13839,Petrol,1
554,2014,Renault,435000,63756,Diesel,0
555,2016,Volkswagen,685000,36321,Diesel,0
556,2018,Maruti Suzuki,690000,70256,Petrol,0
557,2015,Maruti Suzuki,470000,35153,Petrol,0
